event_month,county,program,total_services,avg_risk_score,avg_social_need,total_prior_utilization,target_next_month_demand,record_count
2025-01-01,Los Angeles,Clinic_Access,99,0.3234111601705677,0.4061042956229661,54,1009.8807460722135,33
2025-01-01,Los Angeles,Enrollment_Support,81,0.25753561076184045,0.4599132700072538,35,671.0517798444529,20
2025-01-01,Los Angeles,Preventive_Care,102,0.32554994657947584,0.45791618348051755,54,947.302178546751,30
2025-01-01,Los Angeles,Telehealth,62,0.3618622172665915,0.5027186200087647,29,611.3775613444636,22
2025-01-01,Orange,Clinic_Access,88,0.25366646215073985,0.40708601739405287,57,859.1293565343551,27
2025-01-01,Orange,Enrollment_Support,113,0.27403475950544376,0.42198490779981146,63,1033.3544365727082,35
2025-01-01,Orange,Preventive_Care,98,0.3295851033812261,0.45040414926911426,48,998.4676155865186,32
2025-01-01,Orange,Telehealth,121,0.2878967173919862,0.4323698323344168,79,1197.655835012281,37
2025-01-01,Riverside,Clinic_Access,124,0.29240835747800553,0.4953850118464088,74,1128.7537013755746,33
2025-01-01,Riverside,Enrollment_Support,73,0.2581186285306635,0.47806016583182315,46,751.9152494707312,26
2025-01-01,Riverside,Preventive_Care,70,0.23890774720207994,0.427508702798403,37,683.0077716822899,23
2025-01-01,Riverside,Telehealth,73,0.3124714231640127,0.41853295705474797,43,757.3118727529156,24
2025-01-01,San Bernardino,Clinic_Access,77,0.27856547239188617,0.5191546125559516,46,735.5690255574801,22
2025-01-01,San Bernardino,Enrollment_Support,71,0.28117967568940433,0.334745016727876,47,680.386928397067,23
2025-01-01,San Bernardino,Preventive_Care,95,0.38061805104999613,0.5116952835754444,54,930.9275344236969,27
2025-01-01,San Bernardino,Telehealth,63,0.28338604899586745,0.437786428155359,32,659.6484473610445,22
2025-01-01,San Diego,Clinic_Access,91,0.32191512127902205,0.4424470437392927,54,943.366777038089,30
2025-01-01,San Diego,Enrollment_Support,81,0.300478360198947,0.43532148320432623,39,762.346023304676,25
2025-01-01,San Diego,Preventive_Care,62,0.3031022805116863,0.4264355236054113,33,626.3533783741436,21
2025-01-01,San Diego,Telehealth,50,0.3386450768043538,0.43108564302692676,34,543.154659566232,19
2025-02-01,Los Angeles,Clinic_Access,86,0.23320108577878282,0.476652875560821,52,845.0527947242017,28
2025-02-01,Los Angeles,Enrollment_Support,65,0.2833908131342629,0.4470318201506765,36,671.9127250340463,23
2025-02-01,Los Angeles,Preventive_Care,79,0.2618739775338215,0.46877369712466993,47,732.6539517764202,25
2025-02-01,Los Angeles,Telehealth,87,0.3580034673359233,0.3608174007354685,45,797.1141364833966,27
2025-02-01,Orange,Clinic_Access,77,0.3012849305369239,0.4149010324912674,43,782.1093361447046,25
2025-02-01,Orange,Enrollment_Support,66,0.32879034591959405,0.4178193288754087,39,667.1918254521345,21
2025-02-01,Orange,Preventive_Care,55,0.3574749812635036,0.49549777759167046,33,623.4462590508524,20
2025-02-01,Orange,Telehealth,93,0.2787887946849125,0.5026499688522431,48,891.5826531215572,29
2025-02-01,Riverside,Clinic_Access,111,0.28777959971235556,0.4382038033355042,52,1080.9557881527903,35
2025-02-01,Riverside,Enrollment_Support,83,0.3286448473917084,0.39074681998362304,43,753.4220193468108,26
2025-02-01,Riverside,Preventive_Care,106,0.3284608630444297,0.4091621366706184,66,1154.8000097402305,37
2025-02-01,Riverside,Telehealth,91,0.3114027716909395,0.4511185198852746,34,747.6905548678527,23
2025-02-01,San Bernardino,Clinic_Access,102,0.34264321253147595,0.4342861579597835,62,1011.8396934390208,32
2025-02-01,San Bernardino,Enrollment_Support,98,0.28407484734087474,0.47323857973838845,57,987.909564412819,31
2025-02-01,San Bernardino,Preventive_Care,120,0.27618894870034705,0.45378486493818676,56,1021.2182707459649,33
2025-02-01,San Bernardino,Telehealth,70,0.2895377488451379,0.43354015457079087,52,787.1338074965821,25
2025-02-01,San Diego,Clinic_Access,114,0.298023861131703,0.44771035518150165,69,1143.8799571155105,37
2025-02-01,San Diego,Enrollment_Support,103,0.34556305241404817,0.4602744506833267,54,918.3262015085621,29
2025-02-01,San Diego,Preventive_Care,86,0.35784382891439165,0.4340035925292954,49,854.9548531798933,28
2025-02-01,San Diego,Telehealth,109,0.2837151044172243,0.4897801787484695,50,1016.1264067397152,33
2025-03-01,Los Angeles,Clinic_Access,110,0.2832792678223549,0.4677279173942501,67,1141.1509805190915,36
2025-03-01,Los Angeles,Enrollment_Support,109,0.35765298261025585,0.42465169694129434,73,1055.684279123625,33
2025-03-01,Los Angeles,Preventive_Care,59,0.353254297490424,0.4971550676179198,37,717.1754860429347,24
2025-03-01,Los Angeles,Telehealth,106,0.30107042383513766,0.4731035340276176,52,1028.0511004005248,33
2025-03-01,Orange,Clinic_Access,75,0.31003927942736514,0.4822166492383233,46,837.6214558452024,27
2025-03-01,Orange,Enrollment_Support,80,0.3030966798205977,0.5012168690202454,43,803.2509375482987,24
2025-03-01,Orange,Preventive_Care,120,0.31484647071354754,0.38729649463436266,63,1115.0942575033678,39
2025-03-01,Orange,Telehealth,70,0.2868263473937834,0.43900175652841184,39,705.6123113759986,23
2025-03-01,Riverside,Clinic_Access,90,0.3248852484292749,0.4850904901799482,63,1031.149631140297,31
