event_id,event_time,train_id,route_id,latitude,longitude,scheduled_minutes,distance_miles,avg_speed_mph,brake_pressure,engine_temp,vibration_score,weather_severity,route_congestion,cargo_weight_tons,delay_minutes,delay_risk
EVT_00000000,2026-01-03 16:15:00,TRAIN_0101,ROUTE_007,31.877310065101078,-118.41849098468325,163.0753114248188,236.8888594896904,81.14508023803921,97.31623851340754,176.8304738267443,4.358306370166519,3,0.4534401625484959,3475.579755410143,33.05044650475035,1
EVT_00000001,2026-01-24 05:14:00,TRAIN_0002,ROUTE_010,37.31757456426971,-86.73092136816972,159.38631892493424,319.79410694589444,85.0,102.32384219306346,157.69072950348863,2.08285320705049,2,0.33417634304866695,7180.908234464896,18.527557000212948,0
EVT_00000002,2026-01-20 15:17:00,TRAIN_0160,ROUTE_015,36.51698291008802,-103.26018848385347,214.60346422081855,310.68818864047984,85.0,90.28800735558576,195.05962887326262,0.8138854075852037,0,0.3443029750489214,8573.0587997448,14.455687212799118,0
EVT_00000003,2026-01-14 03:59:00,TRAIN_0179,ROUTE_009,42.273408903087635,-77.17076646104503,216.85968760104623,220.61906675372956,50.86655978960512,90.7079374878385,168.24486198968697,0.8284959856565689,2,0.19951405155181828,9534.519122833377,8.753673061517919,0
EVT_00000004,2026-01-13 23:46:00,TRAIN_0061,ROUTE_001,38.560461131508056,-90.58027020104642,155.92107809804796,33.060689891408934,5.740026516545964,85.66805913881669,136.86299635183875,1.5670393974181458,1,0.2535723477432769,9615.291861133695,14.296432479002627,0
EVT_00000005,2026-01-26 18:11:00,TRAIN_0107,ROUTE_027,35.551080622580855,-98.12903025492993,161.8576795381478,131.53821638277546,42.2688353364575,83.97069957650541,170.12279444346674,1.5714161599590961,0,0.4087023330676676,7045.688677316494,19.84021522480854,0
EVT_00000006,2026-01-03 13:52:00,TRAIN_0044,ROUTE_022,41.90341756492672,-79.70530713402573,204.35088771981182,281.06672899075915,81.07876485780895,78.96512364141238,179.78724485920534,0.7049327139804384,0,0.16232171456899563,11461.385116024363,3.236358245151907,0
EVT_00000007,2026-01-21 22:06:00,TRAIN_0123,ROUTE_030,34.06074135550543,-98.05092458587114,142.75870916694024,95.97988637717704,56.21691119261011,71.32020654913258,154.53735755868286,0.9553702373158864,0,0.5728341897972552,5631.853984921254,7.608256195674022,0
EVT_00000008,2026-01-07 01:03:00,TRAIN_0103,ROUTE_027,35.3837625055391,-103.923003129238,161.52597053932433,193.864592913044,64.546920648205,81.57063991072155,172.04549237225663,2.9081721768127333,2,0.3934577755684652,5688.930055764486,19.36281563295054,0
EVT_00000009,2026-01-03 19:48:00,TRAIN_0096,ROUTE_025,37.33585402488617,-88.36917723051059,184.03167453157957,247.07844909512258,72.73952971384004,100.84863440808616,173.21292908377245,3.849383496741882,2,0.32744121721000546,7032.556658494409,9.46136339972044,0
EVT_00000010,2026-01-16 19:03:00,TRAIN_0037,ROUTE_029,38.24033206206252,-103.86506600626068,224.81724081700162,337.5656556609208,81.02556314878173,84.90699668763388,173.6023026431045,1.4467070710711447,1,0.08806748798746478,8488.933194868312,26.392275303083977,1
EVT_00000011,2026-01-30 06:26:00,TRAIN_0049,ROUTE_021,40.12873316454366,-95.27451266572139,152.79306227192066,173.99842428364687,73.41144748483336,85.8477757956715,205.86604674288637,0.044433189715006836,0,0.10894001396819415,8157.89006576681,13.019962842786674,0
EVT_00000012,2026-01-23 01:44:00,TRAIN_0028,ROUTE_030,40.189486367216446,-93.04886718762583,97.09269920861976,168.52098327334966,85.0,85.61417760342424,142.2110534703822,2.742863564670493,0,0.08371024737448532,2737.0215662831165,8.543679544627897,0
EVT_00000013,2026-01-23 20:01:00,TRAIN_0076,ROUTE_026,36.132475904954916,-96.69923137090372,93.75311396168051,215.80433868035996,85.0,104.9364919899928,225.8450614796391,0.3728156805631462,0,0.37677051386074223,5264.307518532374,14.479410839266993,0
EVT_00000014,2026-01-22 12:35:00,TRAIN_0001,ROUTE_017,40.42707211851091,-92.86977712477908,123.326411998224,248.0730375848082,85.0,78.85940915362394,174.1791169952198,0.547898822277678,0,0.3239492800808239,8380.937980309105,6.917131207949643,0
EVT_00000015,2026-01-24 13:57:00,TRAIN_0101,ROUTE_023,39.63158046264325,-92.8534086397309,120.90745268100282,207.6602538083125,85.0,93.32464006067993,189.50528084881157,1.6995879281388737,1,0.16146872757376146,5400.452265287805,12.611825084142334,0
EVT_00000016,2026-01-16 09:31:00,TRAIN_0072,ROUTE_017,39.25263694935832,-95.30558003985685,173.0425158621041,303.94146791086484,85.0,89.17840639715803,178.19590666344638,4.510406372392881,0,0.2558574790660968,6768.276664760944,6.415907640958299,0
EVT_00000017,2026-01-04 20:14:00,TRAIN_0086,ROUTE_010,31.526984460789514,-103.87101138453407,126.50039308810777,156.06849335772225,85.0,90.81512190113723,131.84941070587024,3.2204749089615334,0,0.35435216955104365,7646.385824522325,0.0,0
EVT_00000018,2026-01-26 04:37:00,TRAIN_0157,ROUTE_004,41.446970738128215,-109.988502488391,148.37602680804582,229.6128746703235,85.0,92.93220488539741,148.58555862535312,2.9920856946400964,1,0.31807176125972353,7870.574608260205,13.81585400404074,0
EVT_00000019,2026-01-14 12:16:00,TRAIN_0117,ROUTE_008,42.08309210753585,-106.46811052803609,145.16613517580777,255.61701681976152,85.0,90.68597928321684,161.89310300905527,1.7139374246362096,0,0.11012163278754365,8549.2251943579,18.23175470654932,0
EVT_00000020,2026-01-16 00:15:00,TRAIN_0192,ROUTE_024,42.88984012783199,-105.71252901908026,160.1771462618403,187.98137520753147,65.0952507797096,99.51626263981103,199.84299545292413,0.6479127016571234,1,0.5531638460902183,9288.015422980145,26.647999942444606,1
EVT_00000021,2026-01-12 02:58:00,TRAIN_0007,ROUTE_027,39.85676492039448,-89.72112729454489,239.51269491854052,287.1767949247973,61.19306832042605,89.64891206444486,140.39197160625713,4.066774623663489,2,0.010454024215710844,8138.628140448618,18.914535749863916,0
EVT_00000022,2026-01-06 11:26:00,TRAIN_0010,ROUTE_030,44.432392623938796,-76.93199413522761,209.78764152437324,231.91668329938796,72.19850127871864,110.93251672110837,153.60656432397295,0.6685940352372065,1,0.30414649098372587,4790.573417224539,14.73124740043784,0
EVT_00000023,2026-01-28 19:16:00,TRAIN_0143,ROUTE_026,41.50535640572746,-97.71624445152989,180.7258236874202,283.10765705218193,85.0,90.53375926760215,179.1212710069564,2.505601503658323,4,0.42379772710264213,8055.588778821225,15.970790914313543,0
EVT_00000024,2026-01-24 10:43:00,TRAIN_0166,ROUTE_004,37.013035032864465,-82.88130136318773,159.2538173738623,235.52832864390655,85.0,69.55839740879676,186.82141119457341,2.1849387071105704,1,0.17104675769811026,8947.15032996462,19.469225035530517,0
EVT_00000025,2026-01-20 07:34:00,TRAIN_0110,ROUTE_009,38.76600964294155,-106.08393863652248,160.50453045196406,250.11236571897825,85.0,97.65972429772478,186.06802192078752,0.5893956173298898,2,0.26649488902404295,7816.2862959187205,18.90220356400651,0
EVT_00000026,2026-01-13 01:44:00,TRAIN_0074,ROUTE_020,36.211747909069636,-99.40164263956935,194.74859114783771,169.40865945205158,52.36188811385312,94.70516166311738,150.39987215690712,0.35923065313326585,1,0.11781840802864613,9321.51034611863,13.500252954458293,0
EVT_00000027,2026-01-25 16:23:00,TRAIN_0183,ROUTE_009,34.12576358720148,-99.70903786465327,206.28760830085307,169.53826358470212,55.509316445525705,90.3905403811431,135.05021599521646,2.9881270946226777,2,0.16956168554049533,7427.592778314826,7.617146140508803,0
EVT_00000028,2026-01-17 08:42:00,TRAIN_0055,ROUTE_008,42.563406399438804,-90.55870101530965,139.157212225473,317.95171839430213,85.0,86.88514421254627,188.47649108032581,1.9595186122243693,0,0.5486529955516672,6771.412647066337,1.2165495765483314,0
EVT_00000029,2026-01-14 07:15:00,TRAIN_0099,ROUTE_029,37.784447273504334,-105.07339314341422,181.64163400264042,270.8408355616266,85.0,64.62457120248257,210.8280985384932,4.0486165298861945,0,0.39347023767010203,5475.361072335157,15.464989887955557,0
EVT_00000030,2026-01-14 12:19:00,TRAIN_0196,ROUTE_025,42.51465931758804,-88.77245065428221,88.57711941016379,138.16278670220785,85.0,66.63787125281189,166.36745961560786,2.4214404877465543,0,0.23378671765257378,10661.815055167253,0.0,0
