user_id,treatment,estimated_cate
U0000000,1,2.1159849234482024
U0000001,1,5.1339930539977185
U0000002,1,2.072344298122104
U0000003,1,3.136341524057297
U0000004,1,0.07317104943052044
U0000005,0,0.9298549799605382
U0000006,0,1.5791704144274377
U0000007,0,1.1813652316745298
U0000008,1,5.7488153046630295
U0000009,1,3.362214853901552
U0000010,1,-0.6246531759712521
U0000011,0,1.5636243696752778
U0000012,0,1.7127112345007163
U0000013,1,-0.07689963766949859
U0000014,0,3.030809202148138
U0000015,0,4.35166581501943
U0000016,0,2.5022007657102243
U0000017,1,-0.45616790266197427
U0000018,0,1.1892256168669562
U0000019,0,1.350959007679137
U0000020,0,1.9303708654963074
U0000021,0,5.683993058811234
U0000022,1,5.4284707523872715
U0000023,1,1.639400408818652
U0000024,0,2.884929943728853
U0000025,0,4.034428221186349
U0000026,0,1.761118414533133
U0000027,1,2.581664101613974
U0000028,1,1.581061525011842
U0000029,1,2.9406958285928013
U0000030,1,2.7340072094216676
U0000031,0,3.426577155439759
U0000032,1,1.2490434951800147
U0000033,0,2.3940790510269245
U0000034,0,4.07487435311859
U0000035,1,4.92836186019856
U0000036,1,4.923095094744518
U0000037,1,-0.6164953143232452
U0000038,1,1.487079601861275
U0000039,0,4.482967492998823
U0000040,0,2.767086400211575
U0000041,0,2.541946527123738
U0000042,0,0.8028480209131299
U0000043,1,3.9431838070211143
U0000044,0,-0.26392365989930155
U0000045,0,2.093713566393756
U0000046,1,1.2280028433237717
U0000047,0,5.594598236248125
U0000048,0,2.684284415648156
U0000049,1,3.5223942111459543
U0000050,1,1.4730333129552182
U0000051,1,3.060818323271498
U0000052,1,3.9722056152979075
U0000053,1,3.849451244308497
U0000054,0,3.5601034650143575
U0000055,0,3.8469857949162964
U0000056,1,2.092780493274933
U0000057,1,2.7049639165582704
U0000058,1,6.332835293925154
U0000059,1,2.704308079577828
U0000060,0,2.239338745858376
U0000061,0,4.7863307863867135
U0000062,0,2.2545673811437847
U0000063,0,0.7830192702942238
U0000064,1,5.09140792168645
U0000065,1,2.818987341159346
U0000066,0,2.8568689666055143
U0000067,0,3.9446758416843952
U0000068,0,5.48224675032529
U0000069,0,2.0016670372213454
U0000070,0,4.655416697116991
U0000071,0,3.104108106061755
U0000072,1,0.7015882229976889
U0000073,0,2.99764363874354
U0000074,1,3.0373380847381615
U0000075,1,1.7786209128856534
U0000076,1,1.8127600105546655
U0000077,1,4.223185290295266
U0000078,1,1.2837392121904188
U0000079,1,1.5837953830412523
U0000080,1,3.7221118764013603
U0000081,0,4.519726741631697
U0000082,0,2.9225820234486033
U0000083,1,2.6527197478936557
U0000084,0,3.3255604927304603
U0000085,0,3.56771127643845
U0000086,1,4.905108800917201
U0000087,1,2.2851721009325576
U0000088,1,3.9644273374520935
U0000089,1,2.124493419482505
U0000090,0,3.6157053970970434
U0000091,1,7.15569708319018
U0000092,0,3.0692830782761433
U0000093,1,6.565582793555233
U0000094,0,3.230080749730721
U0000095,0,4.338170657044209
U0000096,1,2.4419463876968237
U0000097,0,0.16023548465153326
U0000098,0,2.4821118354151395
U0000099,1,0.3697464839715252
U0000100,1,2.937199384166856
U0000101,0,1.42482685956203
U0000102,1,3.846059419057376
U0000103,1,3.9595888615226897
U0000104,1,3.5520770203594445
U0000105,1,3.778511684012246
U0000106,0,3.9178129108339554
U0000107,1,-0.0215409914122624
U0000108,1,3.123619325515108
U0000109,1,5.518883877237419
U0000110,0,2.0844896965336126
U0000111,1,1.3708693356296102
U0000112,0,0.2949743717242761
U0000113,0,2.4701055105266825
U0000114,0,3.919697462467578
U0000115,1,5.596404136957206
U0000116,1,1.8784155150558242
U0000117,1,2.566209645469856
U0000118,0,3.0453668895765134
U0000119,0,1.221212141472936
U0000120,0,-0.44389175649088486
U0000121,1,3.831850169089101
U0000122,1,3.132762389569727
U0000123,1,4.730641282011682
U0000124,1,3.134134531368595
U0000125,0,0.0765615595371365
U0000126,0,1.7791529559662678
U0000127,1,2.300635153643409
U0000128,0,2.283770720214598
U0000129,0,2.3390509483467987
U0000130,1,4.287038217843037
U0000131,0,4.025468723334967
U0000132,0,3.844724421658295
U0000133,1,3.4566679610118776
U0000134,0,0.21901103486350948
U0000135,0,1.8616104835323135
U0000136,0,1.0005212294756944
U0000137,1,0.6356091218228386
U0000138,0,1.7051808091270608
U0000139,0,1.1788796017940903
U0000140,0,1.3950819967079262
U0000141,1,3.479300967027349
U0000142,0,4.311382021954582
U0000143,1,3.21124905361582
U0000144,0,4.057534382944885
U0000145,1,4.022719190889159
U0000146,1,3.3371021483443357
U0000147,0,4.355897116611114
U0000148,0,3.6255896013301747
U0000149,1,0.7429066717379733
U0000150,0,2.235555269174169
U0000151,1,3.1536133671767566
U0000152,0,4.791859460876029
U0000153,1,-0.1660178028403756
U0000154,0,0.7330667335306718
U0000155,0,2.5939369881408822
U0000156,1,4.896207791187937
U0000157,0,2.965336609486041
U0000158,1,3.543661585230776
U0000159,1,7.484204292048929
U0000160,1,3.008217178013391
U0000161,1,2.6933709792253566
U0000162,0,1.5898249187914892
U0000163,0,0.9727803726103055
U0000164,0,4.41428916060827
U0000165,0,0.7344203187971381
U0000166,1,1.5533978756158895
U0000167,1,4.4434723737785
U0000168,0,1.2022578339947323
U0000169,1,3.62842287037698
U0000170,1,2.498504336747107
U0000171,0,0.7293015438528272
U0000172,1,2.0984575229833364
U0000173,0,2.8143515904070995
U0000174,0,4.694192889687464
U0000175,1,3.22633673985203
U0000176,0,3.3675518861708262
U0000177,0,1.3033851197217956
U0000178,1,0.9121404667991708
U0000179,1,1.3937491340601866
U0000180,1,-0.18959457514185019
U0000181,0,2.497505906816592
